epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,110036,1.16887,1.03451,0.00488,0.70477,0.72918,0.72815,0.56076,0.85767,0.88762,0.0049,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,113654,1.16219,1.02863,0.00493,0.66369,0.72505,0.71995,0.54844,0.8514,0.88632,0.00517,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,117902,1.15333,1.00238,0.00478,0.71229,0.70165,0.73332,0.54293,0.86225,0.93135,0.0049,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,121635,1.1462,0.97305,0.00477,0.76689,0.69807,0.75237,0.57533,0.87239,0.88618,0.00526,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,125720,1.14933,0.98139,0.00477,0.7032,0.7302,0.74577,0.57436,0.84217,0.89334,0.00491,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,129212,1.13878,0.96552,0.00472,0.69798,0.68993,0.72185,0.56039,0.82764,0.88577,0.00481,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,132549,1.12768,0.94835,0.00462,0.783,0.68454,0.7359,0.5688,0.83627,0.91719,0.005,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,136324,1.12032,0.93372,0.00465,0.76807,0.68705,0.75219,0.57224,0.85849,0.89781,0.00487,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,139744,1.10721,0.90093,0.00455,0.74204,0.71656,0.74987,0.57718,0.83335,0.86671,0.00461,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,143252,1.10188,0.91354,0.00452,0.73334,0.70672,0.74137,0.56639,0.82185,0.8886,0.00456,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,147152,1.10292,0.89491,0.00447,0.7318,0.72702,0.74884,0.58394,0.8286,0.8879,0.00471,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,150924,1.09483,0.88732,0.00445,0.77125,0.70077,0.75034,0.57347,0.83497,0.86056,0.00475,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,154435,1.08051,0.87669,0.00443,0.71675,0.73174,0.74555,0.57872,0.83202,0.90545,0.0049,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,157777,1.08033,0.85732,0.00436,0.74212,0.68241,0.73581,0.56379,0.83069,0.92047,0.00506,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,160923,1.07137,0.84086,0.00442,0.77116,0.71801,0.75309,0.58486,0.82876,0.87933,0.00476,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,164563,1.05349,0.82812,0.00432,0.76707,0.70959,0.74646,0.57758,0.82869,0.8844,0.00475,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,168084,1.06678,0.81701,0.00431,0.80741,0.71917,0.78387,0.60108,0.83017,0.82153,0.00486,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,171874,1.0485,0.81624,0.00426,0.75778,0.73188,0.76023,0.59125,0.8207,0.86869,0.0046,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,174905,1.0305,0.80194,0.00418,0.75116,0.72542,0.75837,0.59702,0.8256,0.87917,0.00467,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,178730,1.03482,0.79809,0.0042,0.7686,0.72292,0.76279,0.59947,0.81547,0.86381,0.00459,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,181708,1.0216,0.79619,0.00413,0.8124,0.71338,0.76402,0.59823,0.81562,0.88204,0.00472,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,184970,1.01752,0.76182,0.00411,0.79598,0.71212,0.77613,0.60369,0.81882,0.87406,0.00475,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,187955,1.01465,0.74254,0.004,0.77778,0.73322,0.76366,0.60161,0.80706,0.87876,0.00469,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,191519,1.00014,0.74303,0.00397,0.77286,0.70579,0.75395,0.58656,0.81967,0.90676,0.00475,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,195004,1.00485,0.73951,0.00408,0.75271,0.71244,0.76098,0.58813,0.81452,0.92146,0.00476,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,198236,0.99679,0.71615,0.00401,0.78548,0.72088,0.74947,0.58677,0.81769,0.93229,0.0047,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,201591,0.98821,0.7233,0.00396,0.7595,0.71482,0.75163,0.59558,0.81802,0.9459,0.00469,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,205151,0.97606,0.7045,0.00382,0.78099,0.74777,0.76595,0.60372,0.80154,0.93819,0.0045,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,208883,0.9787,0.70143,0.00379,0.78369,0.72451,0.75768,0.59553,0.80604,0.93086,0.00454,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,212672,0.96863,0.68735,0.00394,0.74181,0.70903,0.7447,0.57324,0.81178,0.95079,0.00452,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,216330,0.97192,0.69649,0.00383,0.78103,0.67922,0.74271,0.58928,0.79778,0.95399,0.00443,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,219865,0.95795,0.67524,0.00383,0.78373,0.6834,0.74782,0.59299,0.79679,0.97207,0.00461,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,223874,0.94701,0.66,0.00374,0.81972,0.67977,0.74961,0.59921,0.79388,0.98389,0.00457,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,227745,0.94223,0.66036,0.00373,0.80021,0.70494,0.75446,0.59846,0.80333,0.98148,0.00468,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,230563,0.93739,0.64292,0.00368,0.77599,0.72855,0.76371,0.60951,0.78584,0.9547,0.00437,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,233336,0.92133,0.63636,0.00363,0.79478,0.71407,0.76209,0.60617,0.78587,0.93802,0.00442,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,236519,0.92396,0.64209,0.00359,0.7602,0.72983,0.75762,0.59714,0.792,0.9724,0.00444,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,239106,0.91887,0.63822,0.00362,0.76169,0.71943,0.74701,0.58863,0.80144,0.94453,0.00458,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,241866,0.90827,0.61757,0.00359,0.77902,0.75013,0.75938,0.60054,0.79794,0.93726,0.00467,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,245029,0.8956,0.60266,0.00352,0.79724,0.73333,0.75711,0.5928,0.79568,0.95348,0.00458,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,248248,0.90163,0.61976,0.0035,0.78227,0.72149,0.75298,0.59909,0.79088,0.97208,0.00455,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,251717,0.89166,0.60162,0.00345,0.81955,0.70955,0.76294,0.61031,0.79036,0.95789,0.00462,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,254837,0.88437,0.59504,0.00349,0.77577,0.72344,0.75936,0.60772,0.79361,1.01266,0.00452,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,258405,0.87526,0.58737,0.00338,0.75611,0.73884,0.75648,0.60346,0.79066,1.01804,0.00448,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,261713,0.87137,0.5823,0.00337,0.81031,0.68983,0.76124,0.61348,0.79269,1.01354,0.00446,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,264472,0.85956,0.5775,0.00335,0.76095,0.73824,0.76046,0.60871,0.80185,1.00239,0.00449,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,267559,0.8537,0.55769,0.00331,0.78919,0.7208,0.75503,0.60555,0.79482,0.99827,0.00448,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,271104,0.84971,0.55392,0.00333,0.79613,0.69582,0.74856,0.59924,0.80069,1.00998,0.00454,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,275012,0.84388,0.5482,0.0032,0.81791,0.69613,0.75466,0.608,0.80119,0.99963,0.00448,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,278382,0.83494,0.54583,0.00326,0.78293,0.7126,0.76005,0.6106,0.80352,1.01548,0.00448,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,282129,0.82244,0.53662,0.00319,0.78773,0.72033,0.763,0.61223,0.80325,1.0074,0.00446,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,285774,0.82561,0.54272,0.0032,0.78934,0.71609,0.76222,0.61036,0.80583,1.02026,0.00453,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,289490,0.81102,0.52624,0.00313,0.79065,0.70528,0.75794,0.60802,0.80859,1.02679,0.00457,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,292472,0.80794,0.51853,0.00314,0.80381,0.73373,0.76373,0.61254,0.80895,1.01647,0.00452,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,296203,0.80801,0.51561,0.00308,0.78471,0.74719,0.76833,0.61522,0.80849,0.99844,0.00449,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,299418,0.79674,0.50601,0.00306,0.78291,0.73958,0.76895,0.61429,0.81112,1.01856,0.00453,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,303119,0.79301,0.50306,0.00305,0.80732,0.73303,0.7665,0.61254,0.81418,1.03464,0.00457,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,306165,0.78392,0.5011,0.00296,0.8004,0.72838,0.76089,0.60694,0.81368,1.04522,0.00457,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,310062,0.78233,0.50076,0.00299,0.77037,0.7454,0.75634,0.6061,0.8108,1.05757,0.0045,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,312836,0.78708,0.42795,0.0037,0.79221,0.7212,0.75076,0.60101,0.8052,1.0654,0.00451,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,316007,0.76596,0.41796,0.00356,0.80092,0.70286,0.74739,0.60203,0.80285,1.08692,0.00451,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,319782,0.75304,0.4152,0.00349,0.79203,0.70662,0.75106,0.60529,0.80616,1.09218,0.00454,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,323049,0.74827,0.40702,0.00339,0.8065,0.69549,0.7507,0.60535,0.80911,1.10607,0.0045,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,326222,0.74042,0.40326,0.00338,0.8225,0.68504,0.75277,0.60622,0.80705,1.10749,0.00448,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,330120,0.73451,0.38915,0.00333,0.82066,0.68871,0.75335,0.60707,0.80889,1.11176,0.0045,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,334045,0.72078,0.37946,0.00328,0.78599,0.71695,0.75746,0.60939,0.80952,1.11818,0.00447,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,4223.64,0.77022,0.5061,0.00292,0.8061,0.7065,0.75839,0.61003,0.81223,1.10894,0.00448,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8350.45,0.76378,0.49275,0.00294,0.77864,0.7313,0.75767,0.61093,0.81389,1.10674,0.00451,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,11462.1,0.75201,0.48543,0.00281,0.78271,0.73449,0.75722,0.61063,0.81611,1.10112,0.00454,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
